Name,Business,Their role,Tier,Segment,Priority,How I know them,Phone,IG / LinkedIn,Website,"What they run (ask, don't research)",Status,Last contact,Next action,Notes
,PJ Distributors,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,pjdistributorsusa.com,,Not contacted,,"Sunbiz for officer name, then call","IMPORT-EXPORT. Est 1999. Supplies supermarkets/wholesalers across US, LatAm, Caribbean."
,TANO Wholesale Inc,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,tanowholesale.com,,Not contacted,,"Sunbiz for officer name, then call","IMPORT-EXPORT. Doral. Mobile phones, data storage, energy backup. B2B resellers."
,Donec Distributors LLC,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,donecdistributors.com,,Not contacted,,"Sunbiz for officer name, then call","IMPORT-EXPORT. 6356 NW 99th Ave, Doral 33178. Designer fragrances + consumer electronics."
,Miami Trading Zone LLC,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,miamitradingzone.com,,Not contacted,,"Sunbiz for officer name, then call",IMPORT-EXPORT. Brand-name perfume wholesale to retailers and wholesalers.
,Miami Lots,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,miamilots.com,,Not contacted,,"Sunbiz for officer name, then call","IMPORT-EXPORT. Bulk fragrances, cosmetics, electronics for resellers. Has online ordering - ask about the gateway."
,Florida European Import Export,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call",IMPORT-EXPORT. Est 1973. Premium specialty produce. 50+ years = likely a legacy processor nobody has reviewed.
,Tocumen Produce,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,tocumenproduceusa.com,,Not contacted,,"Sunbiz for officer name, then call",IMPORT-EXPORT. Family-owned citrus import/export. Family-owned means the owner decides alone.
,J.H. Wholesale,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call",IMPORT-EXPORT. Est 1993. Name-brand closeout merchandise.
,AJ Globals,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,aj-globals.com,,Not contacted,,"Sunbiz for officer name, then call","IMPORT-EXPORT. General wholesale distribution, Miami."
,Los Nicas Distributors,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,losnicasdistributors.com,,Not contacted,,"Sunbiz for officer name, then call","FOOD. Hialeah. Family-owned, Nicaraguan and Latin American products."
,La Autentica Foods LLC,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","FOOD. 989 SE 11 Place, Hialeah 33010."
,A.M.L.L. Corp,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","FOOD. 124 West 24 Street, Hialeah 33010."
,Fedenico Inc,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","FOOD. Latin American food distributor - restaurants, supermarkets, institutions."
,Central American Products Corp,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","FOOD. Imports and wholesales Central American products to FL, SC, IL."
,Cubanita Frozen Food,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,cubanitafrozenfood.com,,Not contacted,,"Sunbiz for officer name, then call",FOOD. Frozen food wholesale distribution.
,Goya Foods (Miami operations),,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","FOOD. FLAG: national company, procurement is almost certainly centralized. Low priority."
,Auto Parts Distributor (APD),,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","AUTO. North Miami. European, American and Japanese parts. Retail + wholesale + import/export."
,GJ Parts,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,gjparts.com,,Not contacted,,"Sunbiz for officer name, then call","AUTO. Radiator distribution in Hialeah and Medley. Japanese, Korean, American parts. Serves LatAm/Caribbean."
